,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription,climate_risk,risk_mitigation
0,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101010,Oil & Gas Drilling,Drilling contractors or owners of drilling rigs that contract their services for drilling wells,"['Climate change impact on weather patterns leading to increased storm activity', 'Rising sea levels affecting coastal drilling locations', 'Increased frequency of extreme weather events such as hurricanes and floods', 'Regulatory changes and carbon pricing impacting profitability', 'Physical damage to rig infrastructure from severe weather conditions']","['Developing a contingency plan', 'Implementing regular security updates', 'Providing employee training on best security practices', 'Conducting regular risk assessments', 'Establishing clear data backup procedures']"
1,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells.","['Extreme weather events such as hurricanes or floods', 'Regulatory changes impacting oil and gas drilling practices', 'Increased scrutiny and pressure from stakeholders regarding environmental impact', 'Supply chain disruptions due to climate-related events', 'Changes in demand for oil and gas products due to climate change initiatives']","['Perform regular security audits', 'Implement multi-factor authentication', 'Train employees on security best practices', 'Backup data regularly', 'Create an incident response plan']"
2,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals.","[
    'Regulatory changes affecting emissions standards and carbon pricing',
    'Physical risks to infrastructure from extreme weather events',
    'Transition risks from shifting to renewable energy sources',
    'Legal risks from climate-related lawsuits or liabilities',
    'Reputational risks from public perception of fossil fuel industry'
]","['Implementing regular security updates', 'Regularly backing up data', 'Implementing multi-factor authentication', 'Training employees on cybersecurity best practices', 'Using strong encryption methods for data protection']"
3,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.,[''],"['Establishing a risk management plan', 'Regularly reviewing and updating risk assessments', 'Implementing proper training and safety protocols', 'Obtaining appropriate insurance coverage', 'Diversifying investments to spread risk', 'Establishing emergency response procedures']"
4,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102030,Oil & Gas Refining & Marketing,"Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries.","['Extreme weather events', 'Regulatory changes', 'Transition to renewable energy sources', 'Public scrutiny and reputational damage', 'Physical asset damage from climate-related events']","['Ensure sufficient insurance coverage', 'Implement regular backup procedures', 'Train employees on cybersecurity best practices', 'Establish a crisis management plan', 'Utilize encryption for sensitive data']"
5,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102040,Oil & Gas Storage & Transportation,"Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies.","[
  'Operational disruptions due to extreme weather events such as hurricanes or flooding',
  'Decreased demand for fossil fuels due to climate change regulations or shifting consumer preferences towards renewable energy sources',
  'Increased insurance costs due to higher risk of accidents or spills in extreme weather conditions',
  'Litigation risks if the company is found to contribute to climate change through their emissions',
  'Physical infrastructure damage due to sea level rise or severe weather events',
  'Stranded assets if there is a shift towards renewable energy sources and decreased demand for oil and gas'
]","['Ensure proper training for employees', 'Implement regular maintenance schedules', 'Diversify investments', 'Establish emergency response protocols', 'Perform regular cybersecurity audits']"
6,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102050,Coal & Consumable Fuels,"Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy. Excludes companies primarily producing gases classified in the Industrial Gases sub-industry and companies primarily mining for metallurgical (coking) coal used for steel production.","['Extreme weather events (e.g. hurricanes, floods)',
'Increased regulatory scrutiny on carbon emissions',
'Decline in demand for coal due to shift towards renewable energy sources',
'Rising insurance costs for coal mining operations',
'Disruption to supply chains due to climate-related events',
'Physical damage to infrastructure from extreme weather events',
'Investor backlash against companies involved in coal production']","['Implementing regular security updates for software and systems', 'Conducting regular security training for employees', 'Implementing firewalls and intrusion detection systems', 'Creating and regularly testing a data backup and recovery plan']"
7,15,Materials,1510,Materials,151010,Chemicals,15101010,Commodity Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries.","['Extreme weather events causing damage to production facilities', 'Supply chain disruptions due to climate-related disasters', 'Increased regulations on carbon emissions impacting operations', 'Rising raw material costs due to climate change impacts on natural resources', 'Loss of market share as consumers shift towards sustainable products', 'Litigation risks related to environmental impact of chemical production']","[""Implementing regular security updates and patches"", ""Training employees on cybersecurity best practices"", ""Implementing a strong firewall and intrusion detection system"", ""Performing regular security audits and penetration testing"", ""Encrypting sensitive data at rest and in transit""]"
8,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries.","['Climate change regulation risks', 'Physical risks from extreme weather events', 'Supply chain disruptions due to climate-related issues', 'Reputation risks from not adhering to sustainability practices', 'Legal risks related to climate-related lawsuits']","['Implementing regular security updates', 'Enhancing employee training on cybersecurity', 'Implementing multi-factor authentication', 'Regularly backing up sensitive data']"
9,15,Materials,1510,Materials,151010,Chemicals,15101030,Fertilizers & Agricultural Chemicals,"Producers of fertilizers, pesticides, potash or other agriculture-related chemicals not classified elsewhere.","['Rising temperatures impacting crop yields', 'Changes in precipitation patterns affecting growing seasons', 'Water scarcity leading to shortages in irrigation', 'Increased frequency of extreme weather events such as storms or droughts', 'Regulatory changes affecting the use of certain chemicals', 'Shifts in pest populations impacting crop health', 'Decreased soil fertility due to climate changes']","[""1. Implement regular training and education for employees on cybersecurity best practices"",
""2. Utilize encryption for sensitive data stored and transmitted"",
""3. Implement access controls to limit who can view and edit sensitive information"",
""4. Conduct regular security audits and assessments"",
""5. Create and test a data backup and recovery plan"",
""6. Establish incident response procedures and protocols"",
""7. Update software and systems regularly to patch any vulnerabilities""]"
