,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription,ClimateRiskMitigation
0,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101010,Oil & Gas Drilling,Drilling contractors or owners of drilling rigs that contract their services for drilling wells,"[
  {
    ""risk"": ""Higher frequency of extreme weather events"",
    ""mitigation"": ""Incorporate environmental hazard assessment into project planning and management.""
  },
  {
    ""risk"": ""Rise in temperature affecting operational efficiency"",
    ""mitigation"": ""Improve infrastructure and technology for temperature resilience.""
  },
  {
    ""risk"": ""Regulatory impacts related to emissions and environmental impacts"",
    ""mitigation"": ""Invest in cleaner, low-carbon technologies and enhance environmental management systems.""
  },
  {
    ""risk"": ""Supply chain disruption due to weather events"",
    ""mitigation"": ""Diversify supply chain and improve logistics.""
  },
  {
    ""risk"": ""Water scarcity affecting drilling operations"",
    ""mitigation"": ""Invest in water efficient technologies and reuse/recycling strategies.""
  },
  {
    ""risk"": ""Damage to infrastructure due to extreme weather"",
    ""mitigation"": ""Regular assessment and maintenance of infrastructure.""
  },
  {
    ""risk"": ""Increased operating costs due to required adaptations"",
    ""mitigation"": ""Incorporate climate risk into financial planning and budgeting.""
  },
  {
    ""risk"": ""Loss of social license due to environmental impacts"",
    ""mitigation"": ""Stakeholder engagement and promote corporate social responsibility.""
  },
  {
    ""risk"": ""Potential litigation due to environmental damages"",
    ""mitigation"": ""Develop robust environmental management policies and compliance programs.""
  },
  {
    ""risk"": ""Reduced demand for fossil fuels due to shift towards renewable energy"",
    ""mitigation"": ""Diversify business model and invest in renewable energy technologies.""
  }
]"
1,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells.","[
  {""risk"":""Increased costs due to carbon pricing initiatives"", 
   ""mitigation"":""Invest in renewable energy sources and energy-efficient technologies""},

  {""risk"":""Disruptions due to extreme weather events"", 
   ""mitigation"":""Implement robust disaster recovery plans and insure key assets""},

  {""risk"":""Regulatory changes targeting greenhouse gas emissions"", 
   ""mitigation"":""Strengthen compliance programs and engage in policy discussions""},

  {""risk"":""Scrutiny and reputation damage from environmental groups"", 
   ""mitigation"":""Engage in open dialogue with stakeholders and enhance social responsibility programs""},

  {""risk"":""Physical damage to facilities due to climate change-induced events"", 
   ""mitigation"":""Invest in infrastructure resilience and location diversification""},

  {""risk"":""Increased operating costs due to water scarcity"", 
   ""mitigation"":""Adopt water conservation measures and explore alternative water sources""},

  {""risk"":""Transition risks associated with shift to low-carbon economy"", 
   ""mitigation"":""Diversify business operations and invest in low-carbon technologies""},

  {""risk"":""Litigation risks due to environmental impact of operations"",
   ""mitigation"":""Strengthen environmental performance management and invest in event response strategies""},

  {""risk"":""Decreased demand for fossil fuels due to changing energy policy"", 
   ""mitigation"":""Invest in technology development and diversify business towards renewable energy sector""}
]"
2,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals.","[
    {
        ""risk"": ""Extreme weather events damaging infrastructure"",
        ""mitigation"": ""Invest in resilient infrastructure and disaster risk management systems""
    },
    {
        ""risk"": ""Increased operational costs due to carbon pricing"",
        ""mitigation"": ""Invest in renewable energy alternatives and energy-efficient technologies""
    },
    {
        ""risk"": ""Shift in market demand towards low-carbon alternatives"",
        ""mitigation"": ""Diversify business portfolio to include renewable energy sources""
    },
    {
        ""risk"": ""Regulatory changes and strict emission targets"",
        ""mitigation"": ""Develop and execute a long-term emission reduction strategy""
    },
    {
        ""risk"": ""Rising sea levels and coastal erosion affecting offshore operations"",
        ""mitigation"": ""Relocate critical infrastructure to less vulnerable locations""
    },
    {
        ""risk"": ""Increased water scarcity affecting operations"",
        ""mitigation"": ""Implement advanced water management and recycling techniques""
    },
    {
        ""risk"": ""Loss of social license to operate due to environmental concerns"",
        ""mitigation"": ""Enhance corporate social responsibility efforts and engagement with local communities""
    },
    {
        ""risk"": ""Physical damages to facilities due to increasing frequency and intensity of wildfires"",
        ""mitigation"": ""Design and implement a comprehensive fire safety and prevention plan""
    },
    {
        ""risk"": ""Legal and financial risks due to potential negligence towards environmental and climate regulations"",
        ""mitigation"": ""Maintain strong compliance programs and regularly audit operations to ensure regulations are being followed""
    },
    {
        ""risk"": ""Supply chain disruptions due to changes in climate patterns"",
        ""mitigation"": ""Develop a more diversified and climate resilient supply chain""
    }
]"
3,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.,"[
  {
    ""risk"": ""Increased regulatory scrutiny on carbon emissions"",
    ""mitigation"": ""Investing in cleaner and renewable energy sources, reducing carbon footprint""
  },
  {
    ""risk"": ""Natural disasters disrupting operations"",
    ""mitigation"": ""Creating robust disaster management and response plans""
  },
  {
    ""risk"": ""Rising temperatures leading to reduced efficiency"",
    ""mitigation"": ""Implementing more efficient cooling systems and technologies""
  },
  {
    ""risk"": ""Increased water scarcity affecting operations"",
    ""mitigation"": ""Investing in water-saving tech and optimizing water use in operations""
  },
  {
    ""risk"": ""Public sentiment shifting away from fossil fuels"",
    ""mitigation"": ""Diversifying portfolio to include renewable energy sources""
  },
  {
    ""risk"": ""Increased insurance costs due to climate related risks"",
    ""mitigation"": ""Implementing robust risk management strategies and insurance optimization""
  },
  {
    ""risk"": ""Changes in climate that affect supply and demand"",
    ""mitigation"": ""Developing flexible business strategies and supply chain diversification""
  },
  {
    ""risk"": ""Potential litigation for contribution to climate change"",
    ""mitigation"": ""Adopting sustainable practices and showing commitment to reducing environmental impact""
  },
  {
    ""risk"": ""Physical risks to infrastructure due to extreme weather events"",
    ""mitigation"": ""Implementing protective infrastructure and location diversification""
  },
  {
    ""risk"": ""Transition risks due to changing energy markets"",
    ""mitigation"": ""Strategically divesting from fossil fuels and investing in renewable energy""
  }
]"
4,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102030,Oil & Gas Refining & Marketing,"Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries.","[
  {""risk"": ""Increased operational costs due to carbon pricing or emission fees"", 
    ""mitigation"": ""Investment in clean and renewable energy options to reduce carbon footprint""},
  
  {""risk"": ""Disruption in supply chain due to extreme weather events"", 
    ""mitigation"": ""Implementing a robust and adaptable supply chain and sourcing strategy""},
  
  {""risk"": ""Regulatory risks associated with greenhouse gas emission"", 
    ""mitigation"": ""Compliance and active participation in policy making and discussions on climate change regulations""},
  
  {""risk"": ""Reputational risk due to non-compliance with environmental standards"", 
    ""mitigation"": ""Committing to transparent reporting on environmental impact, actions and preparedness""},
  
  {""risk"": ""Potential litigation risks due to environmental impact"", 
    ""mitigation"": ""Ensure compliance with all relevant environmental laws and regulations""},
  
  {""risk"": ""Decreased demand for oil and gas products due to shift towards renewable energy sources"", 
    ""mitigation"": ""Diversification of product portfolio to include renewable energy solutions""},
  
  {""risk"": ""Increased maintenance costs for infrastructures due to occasional weather changes"", 
    ""mitigation"": ""Performing regular preventative maintenance and higher-level investment in infrastructure robustness""}
]"
5,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102040,Oil & Gas Storage & Transportation,"Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies.","[
  {
    ""risk"": ""Impact of environmental regulation changes"",
    ""mitigation"": ""Keeping up to date with international, national, local legislation and policy to ensure compliance""
  },
  {
    ""risk"": ""Pollution and subsequent cleanup and liability costs"",
    ""mitigation"": ""Implementing stringent environmental standard procedures and regular maintenance schedules""
  },
  {
    ""risk"": ""Potential spills causing environmental damage"",
    ""mitigation"": ""Using advanced technology to monitor and maintain infrastructure, and having emergency response plans in place""
  },
  {
    ""risk"": ""Increased operation costs due to carbon taxes"",
    ""mitigation"": ""Investing in efficient technologies to reduce carbon emissions""
  },
  {
    ""risk"": ""Physical damage due to extreme weather events"",
    ""mitigation"": ""Building infrastructure resilient to expected climate change impacts, insurances and contingency plans""
  },
  {
    ""risk"": ""Long term changes in weather patterns impacting supply"",
    ""mitigation"": ""Diversifying supply sources, and using forecasting and modelling to predict potential supply chain disruptions""
  },
  {
    ""risk"": ""Reputation damage due to contribution to climate change"",
    ""mitigation"": ""Improving transparency, adopting renewable alternatives where possible, and engaging in environmentally friendly initiatives""
  },
  {
    ""risk"":""Transition risks including asset stranding"",
    ""mitigation"":""Assessing carbon-related assets for risk of stranding and creating a sustainable transition plan""
  }
]"
6,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102050,Coal & Consumable Fuels,"Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy. Excludes companies primarily producing gases classified in the Industrial Gases sub-industry and companies primarily mining for metallurgical (coking) coal used for steel production.","[
  {
    ""risk"": ""Increased regulations on greenhouse gas emissions"",
    ""mitigation"": ""Investment in cleaner and more efficient production technologies""
  },
  {
    ""risk"": ""Extreme weather events disrupting the coal production processes"",
    ""mitigation"": ""Implementation of robust disaster management plans""
  },
  {
    ""risk"": ""Transition risks due to a shift towards renewable energy sources"",
    ""mitigation"": ""Diversification into renewable energy production""
  },
  {
    ""risk"": ""Water scarcity affecting the coal mining operations"",
    ""mitigation"": ""Implementing water conservation strategies and technologies""
  },
  {
    ""risk"": ""Increasing societal pressure and reputation damage due to environmental concerns"",
    ""mitigation"": ""Engagement in Corporate Social Responsibility initiatives""
  },
  {
    ""risk"": ""Potential for carbon pricing impacting profitability"",
    ""mitigation"": ""Investing in Carbon Capture and Storage technologies""
  },
  {
    ""risk"": ""Legal liabilities from environmental damage"",
    ""mitigation"": ""Implementing rigorous environmental impact assessment strategies""
  },
  {
    ""risk"": ""Availability and increase in the cost of insurance due to climate risks"",
    ""mitigation"": ""Developing and implementing proactive risk management strategies""
  }
]"
7,15,Materials,1510,Materials,151010,Chemicals,15101010,Commodity Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries.","[
    {""risk"": ""Extreme weather events damaging production facilities"", ""mitigation"": ""Implement severe weather monitoring and build stronger infrastructure""},
    {""risk"": ""Increased regulations on greenhouse gas emissions"", ""mitigation"": ""Invest in cleaner production techniques""},
    {""risk"": ""Water scarcity affecting manufacturing processes"", ""mitigation"": ""Develop and adopt water-efficient processes""},
    {""risk"": ""Increased raw material cost due to climate change"", ""mitigation"": ""Diversify supply chain and explore alternative materials""},
    {""risk"": ""Increased energy costs from carbon pricing"", ""mitigation"": ""Invest in energy efficiency and renewable energy""},
    {""risk"": ""Risk of reputational damage due to high carbon footprint"", ""mitigation"": ""Develop a strong sustainability strategy and communicate this to stakeholders""},
    {""risk"": ""Climate change exacerbating occupational health risks"", ""mitigation"": ""Strengthen worker protection measures and invest in training""},
    {""risk"": ""Disruption of supply chain due to climate events"", ""mitigation"": ""Establish a diversified supply chain and invest in supply chain resilience""},
    {""risk"": ""Changes in market demand due to shift towards green products"", ""mitigation"": ""Innovate and develop environmentally-friendly products""},
    {""risk"": ""Physical risk to assets due to rising sea levels"", ""mitigation"": ""Invest in asset relocation or improve existing infrastructure""},
    {""risk"": ""Potential lawsuits for contributing to climate change"", ""mitigation"": ""Ensure compliance with environmental laws and pursue sustainable operational practices""},
    {""risk"": ""Increased insurance costs due to increased risks"", ""mitigation"": ""Implement risk reduction strategies and negotiate for better insurance premiums""}
]
"
8,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries.","[
  {
    ""risk"": ""Production disruption due to extreme weather events"",
    ""mitigation"": ""Implementing robust disaster management and recovery plans""
  },
  {
    ""risk"": ""Increased operational costs due to carbon pricing"",
    ""mitigation"": ""Investing in energy-efficient technologies and renewable energy sources""
  },
  {
    ""risk"": ""Potential damage to facilities from flooding or sea level rise"",
    ""mitigation"": ""Investing in an infrastructure resilient to climate change impacts""
  },
  {
    ""risk"": ""Supply chain interruptions from global climate impacts"",
    ""mitigation"": ""Diversifying suppliers and implementing local sourcing strategies to reduce dependence""
  },
  {
    ""risk"": ""Regulatory risks related to emission reduction requirements"",
    ""mitigation"": ""Engaging in proactive policy discussions and compliance with new regulations""
  },
  {
    ""risk"": ""Increased costs of raw materials due to climate-related scarcity"",
    ""mitigation"": ""Investing in research and development of alternative materials""
  },
  {
    ""risk"": ""Growing consumer demand for environmentally friendly products"",
    ""mitigation"": ""Developing sustainable and eco-friendly products""
  },
  {
    ""risk"": ""Brand damage due to perceived environmental negligence"",
    ""mitigation"": ""Improving corporate social responsibility and communication about environmental efforts""
  },
  {
    ""risk"": ""Potential litigation for failing to manage climate change related risk"",
    ""mitigation"": ""Consistent monitoring of legal mandates and practicing diligent risk management""
  },
  {
    ""risk"": ""Water scarcity affecting production process"",
    ""mitigation"": ""Investing in water efficiency and alternative water sourcing""
  }
]"
9,15,Materials,1510,Materials,151010,Chemicals,15101030,Fertilizers & Agricultural Chemicals,"Producers of fertilizers, pesticides, potash or other agriculture-related chemicals not classified elsewhere.","[
  {
    ""risk"": ""Increased greenhouse gas emissions from production processes"",
    ""mitigation"": ""Adopt cleaner and more energy-efficient production technologies""
  },
  {
    ""risk"": ""Exposure to extreme weather events affecting supply chain"",
    ""mitigation"": ""Diversify supply chain and increase stocks of raw materials""
  },
  {
    ""risk"": ""Regulatory changes aimed at reducing chemical use in agriculture"",
    ""mitigation"": ""Invest in research and development of less harmful alternatives""
  },
  {
    ""risk"": ""Water scarcity due to climate change affecting operations"",
    ""mitigation"": ""Implement water conservation measures and consider relocation""
  },
  {
    ""risk"": ""Increased health risks for workers exposed to higher temperatures"",
    ""mitigation"": ""Invest in climate control systems and train workers""
  },
  {
    ""risk"": ""Potential for litigation due to environmental damage"",
    ""mitigation"": ""Manage waste more efficiently and adopt environmentally friendly practices""
  },
  {
    ""risk"": ""Shift in consumer preferences towards organic and non-chemical products"",
    ""mitigation"": ""Diversity product portfolio to include more sustainable options""
  },
  {
    ""risk"": ""Increasing cost of raw materials due to climate change"",
    ""mitigation"": ""Invest in more efficient methods of production""
  },
  {
    ""risk"": ""Damage to brand reputation due to environmental concerns"",
    ""mitigation"": ""Invest in public relations and CSR initiatives""
  },
  {
    ""risk"": ""Potential loss of biodiversity affecting raw material quality"",
    ""mitigation"": ""Implement sourcing strategies that prioritize sustainability""
  }
]"
